input,instruction,output
nipûunveesh vúra.,translate from karuk to english,I'm going to take a rest.
I'm going to take a rest.,translate from english to karuk,nipûunveesh vúra.
iim káru.,translate from karuk to english,You too.
You too.,translate from english to karuk,iim káru.
chími núpuunvi!,translate from karuk to english,Let's (you and I) rest!
Let's (you and I) rest!,translate from english to karuk,chími núpuunvi!
chí núpuunvi!,translate from karuk to english,Let's (you and I) rest!
Let's (you and I) rest!,translate from english to karuk,chí núpuunvi!
tá néekviit-ha.,translate from karuk to english,I am sleepy
I am sleepy,translate from english to karuk,tá néekviit-ha.
iimkun kiikvíit-hinaa!,translate from karuk to english,You all go to sleep!
You all go to sleep!,translate from english to karuk,iimkun kiikvíit-hinaa!
ipyukúkuhi pamiyukúkuh!,translate from karuk to english,Put on your shoes!
Put on your shoes!,translate from english to karuk,ipyukúkuhi pamiyukúkuh!
kiipyukúkuhi!,translate from karuk to english,You guys put on your shoes!
You guys put on your shoes!,translate from english to karuk,kiipyukúkuhi!
"kiipyukúkuhi pamiyukúkuh, Andrew káru Line!",translate from karuk to english,"Andrew and Line, put on your shoes!"
"Andrew and Line, put on your shoes!",translate from english to karuk,"kiipyukúkuhi pamiyukúkuh, Andrew káru Line!"
iimkun kiipiyukúkuhsuroo!,translate from karuk to english,You guys take off your shoes!
You guys take off your shoes!,translate from english to karuk,iimkun kiipiyukúkuhsuroo!
kiipiyukúkuhsuroo!,translate from karuk to english,You guys take off your shoes!
You guys take off your shoes!,translate from english to karuk,kiipiyukúkuhsuroo!
kiikpishnakaríshukva pamikúnsaanva!,translate from karuk to english,You guys take off your clothes.
You guys take off your clothes.,translate from english to karuk,kiikpishnakaríshukva pamikúnsaanva!
kiikvíit-hinaa!,translate from karuk to english,You guys go to sleep!
You guys go to sleep!,translate from english to karuk,kiikvíit-hinaa!
uhyanaváraar mûuk nuchúupheesh.,translate from karuk to english,I am going to call you on the telephone.
I am going to call you on the telephone.,translate from english to karuk,uhyanaváraar mûuk nuchúupheesh.
xáyfaat uhyanaváraar mûuk núchuupha!,translate from karuk to english,Don't call me!
Don't call me!,translate from english to karuk,xáyfaat uhyanaváraar mûuk núchuupha!
hárivari nachuphûunisheesh?,translate from karuk to english,When are you going to call me?
When are you going to call me?,translate from english to karuk,hárivari nachuphûunisheesh?
íkiich uhyanaváraar mûuk nuchúupheesh.,translate from karuk to english,I am going to use the phone to call you.
I am going to use the phone to call you.,translate from english to karuk,íkiich uhyanaváraar mûuk nuchúupheesh.
papakîihar káru nikîiheesh.,translate from karuk to english,I am (also) going to lock the door.
I am (also) going to lock the door.,translate from english to karuk,papakîihar káru nikîiheesh.
kîiha pachivchákar!,translate from karuk to english,Lock the door!
Lock the door!,translate from english to karuk,kîiha pachivchákar!
nishxâareesh.,translate from karuk to english,I am going to go fishing.
I am going to go fishing.,translate from english to karuk,nishxâareesh.
xáyfaat ishxâar!,translate from karuk to english,Don't go fishing!
Don't go fishing!,translate from english to karuk,xáyfaat ishxâar!
hôoy pamiishxâar?,translate from karuk to english,Where is your fishing pole?
Where is your fishing pole?,translate from english to karuk,hôoy pamiishxâar?
nishxâareesh pananiishxâar.,translate from karuk to english,I am going to go fishing with my fishing pole.
I am going to go fishing with my fishing pole.,translate from english to karuk,nishxâareesh pananiishxâar.
pananiishxâar nishxâareesh payêem.,translate from karuk to english,I am going to go fishing with my fishing pole now.
I am going to go fishing with my fishing pole now.,translate from english to karuk,pananiishxâar nishxâareesh payêem.
peekrupkáanvar nihrúuvti pa'as vaa nishxâareesh.,translate from karuk to english,I am going to go fishing with a fork.
I am going to go fishing with a fork.,translate from english to karuk,peekrupkáanvar nihrúuvti pa'as vaa nishxâareesh.
nikmárakuriheeshva.,translate from karuk to english,I am going to stab it.
I am going to stab it.,translate from english to karuk,nikmárakuriheeshva.
pananisáanva nipithxáheesh.,translate from karuk to english,I am going to wash my clothes.
I am going to wash my clothes.,translate from english to karuk,pananisáanva nipithxáheesh.
soap mûuk nipithxáheesh.,translate from karuk to english,I am going to wash it with soap.
I am going to wash it with soap.,translate from english to karuk,soap mûuk nipithxáheesh.
akâay tu'áhoo?,translate from karuk to english,Who is arriving?
Who is arriving?,translate from english to karuk,akâay tu'áhoo?
nitátuyshureesh pa'îirish.,translate from karuk to english,I am going to sweep the floor.
I am going to sweep the floor.,translate from english to karuk,nitátuyshureesh pa'îirish.
pimustihváanar nimúustiheesh naa.,translate from karuk to english,I am going to look at myself in the mirror.
I am going to look at myself in the mirror.,translate from english to karuk,pimustihváanar nimúustiheesh naa.
íshahak nimúustiheesh naa.,translate from karuk to english,I am going to look at myself in the water.
I am going to look at myself in the water.,translate from english to karuk,íshahak nimúustiheesh naa.
pa'íshahak nimúustiheesh vaa káan.,translate from karuk to english,I am going to look at myself in the water.
I am going to look at myself in the water.,translate from english to karuk,pa'íshahak nimúustiheesh vaa káan.
pimustihváanar mûuk nimúustiheesh naa.,translate from karuk to english,I am going to use the mirror to look at myself.
I am going to use the mirror to look at myself.,translate from english to karuk,pimustihváanar mûuk nimúustiheesh naa.
pananívuh nipithxáheesh.,translate from karuk to english,I am going to brush my teeth.
I am going to brush my teeth.,translate from english to karuk,pananívuh nipithxáheesh.
vuhapithxáhar mûuk nipithxáheesh pananívuh.,translate from karuk to english,I am going to use a toothbrush to brush my teeth.
I am going to use a toothbrush to brush my teeth.,translate from english to karuk,vuhapithxáhar mûuk nipithxáheesh pananívuh.
áhup mûuk nipithxáheesh pananívuh.,translate from karuk to english,I am going to use a stick to brush my teeth.
I am going to use a stick to brush my teeth.,translate from english to karuk,áhup mûuk nipithxáheesh pananívuh.
yúfish káru ni'ihrôovish vaa paninívuh nipithxáheesh.,translate from karuk to english,I am going to use salt to brush my teeth.
I am going to use salt to brush my teeth.,translate from english to karuk,yúfish káru ni'ihrôovish vaa paninívuh nipithxáheesh.
yúfish ni'ihrôovish vaa káru nipithxáheesh pananívuh.,translate from karuk to english,I am going to use salt to brush my teeth.
I am going to use salt to brush my teeth.,translate from english to karuk,yúfish ni'ihrôovish vaa káru nipithxáheesh pananívuh.
vaa káan ni'íripeesh.,translate from karuk to english,I am going to go dig something (there).
I am going to go dig something (there).,translate from english to karuk,vaa káan ni'íripeesh.
îikam vaa káan ni'íripeesh.,translate from karuk to english,I am going to go digging outside.
I am going to go digging outside.,translate from english to karuk,îikam vaa káan ni'íripeesh.
tanukyáanar mûuk ni'íripeesh.,translate from karuk to english,I am going to dig with a shovel.
I am going to dig with a shovel.,translate from english to karuk,tanukyáanar mûuk ni'íripeesh.
ikrívraam nikyaat.,translate from karuk to english,I made a house.
I made a house.,translate from english to karuk,ikrívraam nikyaat.
áhup mûuk nikyaat pa'ikrívraam.,translate from karuk to english,I made a house with wood.
I made a house with wood.,translate from english to karuk,áhup mûuk nikyaat pa'ikrívraam.
áhup mûuk nikyáakoopa patas.,translate from karuk to english,I made a fence with wood.
I made a fence with wood.,translate from english to karuk,áhup mûuk nikyáakoopa patas.
tá nipikyâar patas.,translate from karuk to english,I have finished the fence.
I have finished the fence.,translate from english to karuk,tá nipikyâar patas.
tá nipikyâar pananichúupha.,translate from karuk to english,I finished talking.
I finished talking.,translate from english to karuk,tá nipikyâar pananichúupha.
tá nipikyâar pananipithxa pananisáanva.,translate from karuk to english,I finished washing my clothes.
I finished washing my clothes.,translate from english to karuk,tá nipikyâar pananipithxa pananisáanva.
panishxáaytih tá nipikyâar.,translate from karuk to english,I finished fishing.
I finished fishing.,translate from english to karuk,panishxáaytih tá nipikyâar.
"áxak pananífyiivshas káru ávansa káru muhrôoha.xás vaa tá nu'ákunvar.xás vaa tá nu'ákunvar papúufich, ímpaah.xás vaa pa'ávansa ukúniihka papúufich.xás vúra yíiv sáruk.xás uxuti kunish yíim nîinamich papúufich, xás póo'uum xás vúra uum pufíchkaam.xás vúra uum vaa káan xás uupíipha vúra uum kêech papúufich uum, vúra uum máath.xás vúra vaa máruk, u'áhoo.xás vaa káan tuvupaksúroo.",translate from karuk to english,"I had a couple of pals, a man and his wife. And we would go hunting. And we were hunting the deer [from the] road. And the man shot at the deer. It was way down there. And he thought the deer was small, but when he got there, it was a big deer. So [when he got] there, he said? the deer was really big, it was really heavy. And then he went all the way back up. And he cleaned it there."
"I had a couple of pals, a man and his wife. And we would go hunting. And we were hunting the deer [from the] road. And the man shot at the deer. It was way down there. And he thought the deer was small, but when he got there, it was a big deer. So [when he got] there, he said? the deer was really big, it was really heavy. And then he went all the way back up. And he cleaned it there.",translate from english to karuk,"áxak pananífyiivshas káru ávansa káru muhrôoha.xás vaa tá nu'ákunvar.xás vaa tá nu'ákunvar papúufich, ímpaah.xás vaa pa'ávansa ukúniihka papúufich.xás vúra yíiv sáruk.xás uxuti kunish yíim nîinamich papúufich, xás póo'uum xás vúra uum pufíchkaam.xás vúra uum vaa káan xás uupíipha vúra uum kêech papúufich uum, vúra uum máath.xás vúra vaa máruk, u'áhoo.xás vaa káan tuvupaksúroo."
"I think they have to clean it right away, so the blood doesn't settle, you know, in one place or something, I don't know why they have to do that, that's one thing I puna'áapunmutihara.xás vaa káan tuvúpaksur.xás vaa vúra uum kêech káru.uxúti nîinamich papúufich káru uum vúra yíiv sáruk xás.",translate from karuk to english,"I think they have to clean it right away, so the blood doesn't settle, you know, in one place or something, I don't know why they have to do that, that's one thing I don't know. So he cleaned it down there. And it was really big. He thought the deer was small because it was way down the hill."
"I think they have to clean it right away, so the blood doesn't settle, you know, in one place or something, I don't know why they have to do that, that's one thing I don't know. So he cleaned it down there. And it was really big. He thought the deer was small because it was way down the hill.",translate from english to karuk,"I think they have to clean it right away, so the blood doesn't settle, you know, in one place or something, I don't know why they have to do that, that's one thing I puna'áapunmutihara.xás vaa káan tuvúpaksur.xás vaa vúra uum kêech káru.uxúti nîinamich papúufich káru uum vúra yíiv sáruk xás."
"váa vúra uum yíiv xas vaa vúra uxúti íkiich punakúniihkeeshara xás vúra vaa ukúniihka.xás upíip "" Got the deer.""xás vúra vaa sáruk ukfukúraa.xás vaa ukúniihkat papúufich.xás upiip, "" vúra uum máath."" Heavy.You know, xás vaa ip máath poo'áhoo.xás vúra vaa kêech papúufich.",translate from karuk to english,"And it was so far away, he thought, maybe I won't get it, but he did shoot it. And he said, ""Got the deer."" And he climbed all the way back up from downhill. And he shot that deer. And he said, it's really heavy. Heavy. You know, it was heavy to carry. It was a big deer."
"And it was so far away, he thought, maybe I won't get it, but he did shoot it. And he said, ""Got the deer."" And he climbed all the way back up from downhill. And he shot that deer. And he said, it's really heavy. Heavy. You know, it was heavy to carry. It was a big deer.",translate from english to karuk,"váa vúra uum yíiv xas vaa vúra uxúti íkiich punakúniihkeeshara xás vúra vaa ukúniihka.xás upíip "" Got the deer.""xás vúra vaa sáruk ukfukúraa.xás vaa ukúniihkat papúufich.xás upiip, "" vúra uum máath."" Heavy.You know, xás vaa ip máath poo'áhoo.xás vúra vaa kêech papúufich."
"xás upíip chími kaan vaa sáruk tá nivâaram xás vúra ni'ípakeesh vaa papúufich.""vúra uum kêech papúufich.xas vúra maath káru,"" upiip.vaa pa'ávansa upiip.oo, vúra uum táay vura uum pa'asiktávaansa lots of women, you know, up there in the reservation.xás vúra uum vaa kóovura tá kunyôotva.papúufich tá kun'áveesh.váa vúra punapipshinvárihvutihara, váa vúra ni'áapunmuti payêem.",translate from karuk to english,"And he said, I'm going down there to get it, I'll bring the deer back here. ""It was a big deer. It was heavy,"" he said. The man said that. Oh and there were lots of women up there in the reservation. And they were all glad. They were going to eat deer meat. I'll never forget that, I know it today."
"And he said, I'm going down there to get it, I'll bring the deer back here. ""It was a big deer. It was heavy,"" he said. The man said that. Oh and there were lots of women up there in the reservation. And they were all glad. They were going to eat deer meat. I'll never forget that, I know it today.",translate from english to karuk,"xás upíip chími kaan vaa sáruk tá nivâaram xás vúra ni'ípakeesh vaa papúufich.""vúra uum kêech papúufich.xas vúra maath káru,"" upiip.vaa pa'ávansa upiip.oo, vúra uum táay vura uum pa'asiktávaansa lots of women, you know, up there in the reservation.xás vúra uum vaa kóovura tá kunyôotva.papúufich tá kun'áveesh.váa vúra punapipshinvárihvutihara, váa vúra ni'áapunmuti payêem."
vaa vúra vaa itíhaan vúra vaa u'ákunvuti káru.taay pamuchíshiih káru.,translate from karuk to english,"He was always doing that, he was always hunting. And he had a lot of dogs."
"He was always doing that, he was always hunting. And he had a lot of dogs.",translate from english to karuk,vaa vúra vaa itíhaan vúra vaa u'ákunvuti káru.taay pamuchíshiih káru.
asákaamsa kaan xás vaa á' tá nukfukúraa.,translate from karuk to english,We used to climb those big rocks out there.
We used to climb those big rocks out there.,translate from english to karuk,asákaamsa kaan xás vaa á' tá nukfukúraa.
"yeah, núsxay, núsxayvunaa.",translate from karuk to english,"Yeah, we fished, we all fished."
"Yeah, we fished, we all fished.",translate from english to karuk,"yeah, núsxay, núsxayvunaa."
"pi'êep nanítaat musára tóo kyav.vúra xára xás vúra tu'íf.máh'iit tu'íf, xás vúra tóo kyav saraxútnahich.Biscuits káru tóo kyav.",translate from karuk to english,"Long ago my mother made her bread. And after a long time it raised. In the morning it raised, and she made pancakes. She made biscuits too."
"Long ago my mother made her bread. And after a long time it raised. In the morning it raised, and she made pancakes. She made biscuits too.",translate from english to karuk,"pi'êep nanítaat musára tóo kyav.vúra xára xás vúra tu'íf.máh'iit tu'íf, xás vúra tóo kyav saraxútnahich.Biscuits káru tóo kyav."
vaa pananítaat uum tupíthxah pananúsaanva koovúra vúra.,translate from karuk to english,My mother washed all our clothes.
My mother washed all our clothes.,translate from english to karuk,vaa pananítaat uum tupíthxah pananúsaanva koovúra vúra.
"pananítaat vúra koovúra upíthxah.tupíthxah pakoovúra pananúsaanva koovúra.vaa, xas vúra vaa uum vúra uum chéemyaach, káru uum vúra vaa pu'aapúnmutihara fâat uum pawashing machine.",translate from karuk to english,"My mother washed all (the clothes). She washed them all, all our clothes. And she was quick, and she didn't even know what a washing machine was."
"My mother washed all (the clothes). She washed them all, all our clothes. And she was quick, and she didn't even know what a washing machine was.",translate from english to karuk,"pananítaat vúra koovúra upíthxah.tupíthxah pakoovúra pananúsaanva koovúra.vaa, xas vúra vaa uum vúra uum chéemyaach, káru uum vúra vaa pu'aapúnmutihara fâat uum pawashing machine."
"vaa káan tupíthxah.hãã, hâari upáthriihti káru.xás káru nuu aah nukyáati îikam.xás vaa káan kêechas vúra páramva pa'íshaha.ipáramva pa'íshaha vaa káan.oo, vúra uum ikyáakaam.",translate from karuk to english,"She washed them there (in the back of the house). Yes, sometimes it was even raining. And we made a fire outside. We had to heat the water there. You heated the water there. Oh, it was hard."
"She washed them there (in the back of the house). Yes, sometimes it was even raining. And we made a fire outside. We had to heat the water there. You heated the water there. Oh, it was hard.",translate from english to karuk,"vaa káan tupíthxah.hãã, hâari upáthriihti káru.xás káru nuu aah nukyáati îikam.xás vaa káan kêechas vúra páramva pa'íshaha.ipáramva pa'íshaha vaa káan.oo, vúra uum ikyáakaam."
vaa vúra ip pa'aapúnmuti vaa vúra kich vaa kuméekrii.,translate from karuk to english,We only knew that kind of living.
We only knew that kind of living.,translate from english to karuk,vaa vúra ip pa'aapúnmuti vaa vúra kich vaa kuméekrii.
"hãã, vaa vúra kich i'aapúnmuti vaa kuméekrii.",translate from karuk to english,"Yes, you only knew that kind of living."
"Yes, you only knew that kind of living.",translate from english to karuk,"hãã, vaa vúra kich i'aapúnmuti vaa kuméekrii."
áxak pamupíxuumvar.,translate from karuk to english,She has two socks.
She has two socks.,translate from english to karuk,áxak pamupíxuumvar.
iim púfaat mitikakvánaach.,translate from karuk to english,You don't have a ring.
You don't have a ring.,translate from english to karuk,iim púfaat mitikakvánaach.
púfaat uum mi'ávan.,translate from karuk to english,You don't have a husband.
You don't have a husband.,translate from english to karuk,púfaat uum mi'ávan.
púfaat mutikakvánaach.,translate from karuk to english,She doesn't have a ring.
She doesn't have a ring.,translate from english to karuk,púfaat mutikakvánaach.
"Kayla mutêenva, yâamachich káru.",translate from karuk to english,"Kayla has earrings, pretty ones, too."
"Kayla has earrings, pretty ones, too.",translate from english to karuk,"Kayla mutêenva, yâamachich káru."
Kayla mutêenva káru yâamachich.,translate from karuk to english,"Kayla's earrings are pretty, too."
"Kayla's earrings are pretty, too.",translate from english to karuk,Kayla mutêenva káru yâamachich.
nanífyiiv ukyáat.,translate from karuk to english,My friend made them.
My friend made them.,translate from english to karuk,nanífyiiv ukyáat.
yáv pamífyiiv.,translate from karuk to english,Your friend is good.
Your friend is good.,translate from english to karuk,yáv pamífyiiv.
ikxáramkunish pamuyukúkuh.,translate from karuk to english,Her shoes are black.
Her shoes are black.,translate from english to karuk,ikxáramkunish pamuyukúkuh.
miyukúkuh uum vaa.,translate from karuk to english,Those are your shoes.
Those are your shoes.,translate from english to karuk,miyukúkuh uum vaa.
pukêechhara.,translate from karuk to english,It is not big.
It is not big.,translate from english to karuk,pukêechhara.
pananiyukúku vúra uum kâarim umúsahitih.,translate from karuk to english,My shoes are ugly.
My shoes are ugly.,translate from english to karuk,pananiyukúku vúra uum kâarim umúsahitih.
chivchakarapîimich.,translate from karuk to english,It is by the door.
It is by the door.,translate from english to karuk,chivchakarapîimich.
mu'ífunih káru uum ipshûunkinich.,translate from karuk to english,Her hair is short.
Her hair is short.,translate from english to karuk,mu'ífunih káru uum ipshûunkinich.
ipshûunkinach pamu'ífunih.,translate from karuk to english,She has short hair.
She has short hair.,translate from english to karuk,ipshûunkinach pamu'ífunih.
vâaram pamu'ífunih.,translate from karuk to english,She has long hair.
She has long hair.,translate from english to karuk,vâaram pamu'ífunih.
ipshûunkinach pamu'ífunih.,translate from karuk to english,She has short hair.
She has short hair.,translate from english to karuk,ipshûunkinach pamu'ífunih.
púfaat mu'ífunih.,translate from karuk to english,She has no hair.
She has no hair.,translate from english to karuk,púfaat mu'ífunih.
panani'ávan axváhxuus.,translate from karuk to english,My husband is bald.
My husband is bald.,translate from english to karuk,panani'ávan axváhxuus.
puptaxátiihtihara pami'ífunih.,translate from karuk to english,You didn't comb your hair.
You didn't comb your hair.,translate from english to karuk,puptaxátiihtihara pami'ífunih.
naa vúra ûurihaan.,translate from karuk to english,I am very lazy.
I am very lazy.,translate from english to karuk,naa vúra ûurihaan.
naa káru.,translate from karuk to english,"Me, too."
"Me, too.",translate from english to karuk,naa káru.
vúra puyávhara panani'ífunih.,translate from karuk to english,My hair is not good.
My hair is not good.,translate from english to karuk,vúra puyávhara panani'ífunih.
pananikústaan uum yâamach.,translate from karuk to english,My sister is pretty.
My sister is pretty.,translate from english to karuk,pananikústaan uum yâamach.
pananikústaan uum yâamachheesh.,translate from karuk to english,My sister will be pretty.
My sister will be pretty.,translate from english to karuk,pananikústaan uum yâamachheesh.
pananikústaan uum yâamach payêem.,translate from karuk to english,My sister is pretty now.
My sister is pretty now.,translate from english to karuk,pananikústaan uum yâamach payêem.
pananikústaan vúra mít uum yâamach.,translate from karuk to english,My sister was pretty (long ago).
My sister was pretty (long ago).,translate from english to karuk,pananikústaan vúra mít uum yâamach.
pananikústaan uum payêem puyâamachhara.,translate from karuk to english,My sister is not pretty now.
My sister is not pretty now.,translate from english to karuk,pananikústaan uum payêem puyâamachhara.
koovúra pananikústaan uum yâamachas.,translate from karuk to english,My sisters are all pretty.
My sisters are all pretty.,translate from english to karuk,koovúra pananikústaan uum yâamachas.
koovúra pananikústaan vúra yâamachas.,translate from karuk to english,All my sisters are pretty.
All my sisters are pretty.,translate from english to karuk,koovúra pananikústaan vúra yâamachas.
pananikústaan koovúra yâamachas.,translate from karuk to english,My sisters are all pretty.
My sisters are all pretty.,translate from english to karuk,pananikústaan koovúra yâamachas.
koovúra yâamachasheesh.,translate from karuk to english,They will all be pretty.
They will all be pretty.,translate from english to karuk,koovúra yâamachasheesh.
pananikústaansa vúra yâamachas payêem.,translate from karuk to english,My sisters are pretty now.
My sisters are pretty now.,translate from english to karuk,pananikústaansa vúra yâamachas payêem.
vúra mít yâamachas.,translate from karuk to english,They were once pretty.
They were once pretty.,translate from english to karuk,vúra mít yâamachas.
pananikústaansa vúra mít uum yâamachas.,translate from karuk to english,My sisters were once pretty.
My sisters were once pretty.,translate from english to karuk,pananikústaansa vúra mít uum yâamachas.
naa vúra puxích néetniivka.,translate from karuk to english,I am very mean.
I am very mean.,translate from english to karuk,naa vúra puxích néetniivka.
naa vúra puxích néetniivkatih.,translate from karuk to english,I am really mean.
I am really mean.,translate from english to karuk,naa vúra puxích néetniivkatih.
nixápkoovish.,translate from karuk to english,I will kick her.
I will kick her.,translate from english to karuk,nixápkoovish.
iim vúra puxích itníivka.,translate from karuk to english,You are really mean.
You are really mean.,translate from english to karuk,iim vúra puxích itníivka.
uum vúra puxích itníivka.,translate from karuk to english,He is really mean.
He is really mean.,translate from english to karuk,uum vúra puxích itníivka.
uum vúra puxích kuníxviiphinaatih.,translate from karuk to english,They are really mean.
They are really mean.,translate from english to karuk,uum vúra puxích kuníxviiphinaatih.
vúra puxích yáv kunikyâatih.,translate from karuk to english,They really do good.
They really do good.,translate from english to karuk,vúra puxích yáv kunikyâatih.
vúra uum táay mu'íshkiit.,translate from karuk to english,She has lots of stuff.
She has lots of stuff.,translate from english to karuk,vúra uum táay mu'íshkiit.
táay vúra mu'úup.,translate from karuk to english,She has lots of stuff.
She has lots of stuff.,translate from english to karuk,táay vúra mu'úup.
"uum vúra yáv, vaa kumá'ii.",translate from karuk to english,"She is really good, that's why."
"She is really good, that's why.",translate from english to karuk,"uum vúra yáv, vaa kumá'ii."
uum vúrava yáv vaa kumá'ii.,translate from karuk to english,That's why she is good.
That's why she is good.,translate from english to karuk,uum vúrava yáv vaa kumá'ii.
naa vúra ishímfir.,translate from karuk to english,I am really tough.
I am really tough.,translate from english to karuk,naa vúra ishímfir.
iim káru.,translate from karuk to english,"You, too."
"You, too.",translate from english to karuk,iim káru.
íim káru ishímfir.,translate from karuk to english,"You are tough, too."
"You are tough, too.",translate from english to karuk,íim káru ishímfir.
naa vúra ishímfir íim káru ishímfir.,translate from karuk to english,"I am tough and you are tough, too."
"I am tough and you are tough, too.",translate from english to karuk,naa vúra ishímfir íim káru ishímfir.
uum vaa ishímfir.,translate from karuk to english,She is tough.
She is tough.,translate from english to karuk,uum vaa ishímfir.
naa vúra ikpíhan.,translate from karuk to english,I am strong.
I am strong.,translate from english to karuk,naa vúra ikpíhan.
íim káru ishímfir.,translate from karuk to english,"You are tough, too."
"You are tough, too.",translate from english to karuk,íim káru ishímfir.
íim káru ikpíhan.,translate from karuk to english,"You are strong, too."
"You are strong, too.",translate from english to karuk,íim káru ikpíhan.
naa áas kich.,translate from karuk to english,I am wet.
I am wet.,translate from english to karuk,naa áas kich.
tá napiváxrah.,translate from karuk to english,I am dry.
I am dry.,translate from english to karuk,tá napiváxrah.
íim káru tipiváxrah.,translate from karuk to english,"You are drying up, too."
"You are drying up, too.",translate from english to karuk,íim káru tipiváxrah.
uum ithvóon.,translate from karuk to english,He is eager.
He is eager.,translate from english to karuk,uum ithvóon.
núu ithvóon.,translate from karuk to english,We are eager.
We are eager.,translate from english to karuk,núu ithvóon.
uumkun ithvóon.,translate from karuk to english,They are eager.
They are eager.,translate from english to karuk,uumkun ithvóon.
koovúra ithvóon payêem.,translate from karuk to english,We are all eager now.
We are all eager now.,translate from english to karuk,koovúra ithvóon payêem.
nuu koovúra ithvóon payêem.,translate from karuk to english,We are all eager now.
We are all eager now.,translate from english to karuk,nuu koovúra ithvóon payêem.
tá néemchax.,translate from karuk to english,I am hot.
I am hot.,translate from english to karuk,tá néemchax.
naa tá néemchax.,translate from karuk to english,I am hot.
I am hot.,translate from english to karuk,naa tá néemchax.
tée xviipha hum?,translate from karuk to english,Are you mad?
Are you mad?,translate from english to karuk,tée xviipha hum?
tée kviit-ha hum?,translate from karuk to english,Are you sleepy?
Are you sleepy?,translate from english to karuk,tée kviit-ha hum?
akâay vaa tóo kúupha?,translate from karuk to english,Who did that?
Who did that?,translate from english to karuk,akâay vaa tóo kúupha?
hûut pamíthvuy?,translate from karuk to english,What's your name?
What's your name?,translate from english to karuk,hûut pamíthvuy?
"fâat ixútih"" kíri ni'av""?",translate from karuk to english,What do you want to eat?
What do you want to eat?,translate from english to karuk,"fâat ixútih"" kíri ni'av""?"
peeshkeesh hûut kích?,translate from karuk to english,How is the river?
How is the river?,translate from english to karuk,peeshkeesh hûut kích?
akâay pami'áraaras?,translate from karuk to english,Who are your relatives?
Who are your relatives?,translate from english to karuk,akâay pami'áraaras?
upathríheesh hum?,translate from karuk to english,Is it going to rain?
Is it going to rain?,translate from english to karuk,upathríheesh hum?
chí upathríheesh.,translate from karuk to english,It's going to rain.
It's going to rain.,translate from english to karuk,chí upathríheesh.
hûut kích iim?,translate from karuk to english,How are you?
How are you?,translate from english to karuk,hûut kích iim?
hûut kích uum Phil?,translate from karuk to english,How is Phil?
How is Phil?,translate from english to karuk,hûut kích uum Phil?
íshaha tá kúxrah?,translate from karuk to english,Are you guys thirsty?
Are you guys thirsty?,translate from english to karuk,íshaha tá kúxrah?
koovúra titháfip pa'áv.,translate from karuk to english,You ate up all the food.
You ate up all the food.,translate from english to karuk,koovúra titháfip pa'áv.
vaa múxuun.,translate from karuk to english,That's his acorn soup.
That's his acorn soup.,translate from english to karuk,vaa múxuun.
vaa uum xuntápan.,translate from karuk to english,That's acorns.
That's acorns.,translate from english to karuk,vaa uum xuntápan.
páy uum pananí'av hum?,translate from karuk to english,Is this my food?
Is this my food?,translate from english to karuk,páy uum pananí'av hum?
páfipi.,translate from karuk to english,Drink it up.
Drink it up.,translate from english to karuk,páfipi.
sára amáyav.,translate from karuk to english,This bread tastes good.
This bread tastes good.,translate from english to karuk,sára amáyav.
amáyav pasára.,translate from karuk to english,The bread tastes good.
The bread tastes good.,translate from english to karuk,amáyav pasára.
pamusára uum amáyav.,translate from karuk to english,His bread tastes good.
His bread tastes good.,translate from english to karuk,pamusára uum amáyav.
hôoy pamíchnaat?,translate from karuk to english,Where is your rat?
Where is your rat?,translate from english to karuk,hôoy pamíchnaat?
akvaat húm ivíshtaantih?,translate from karuk to english,Do you like (to eat) raccoon?
Do you like (to eat) raccoon?,translate from english to karuk,akvaat húm ivíshtaantih?
hûut kumá'ii?,translate from karuk to english,Why?
Why?,translate from english to karuk,hûut kumá'ii?
hôoy pamu'ápsuun?,translate from karuk to english,Where is his snake?
Where is his snake?,translate from english to karuk,hôoy pamu'ápsuun?
yáxa pamu'ápxaan.,translate from karuk to english,Look at his hat.
Look at his hat.,translate from english to karuk,yáxa pamu'ápxaan.
pamu'ápsiih xâapki!,translate from karuk to english,Kick his leg!
Kick his leg!,translate from english to karuk,pamu'ápsiih xâapki!
panani'ápsiih tóo kúha.,translate from karuk to english,My leg hurts.
My leg hurts.,translate from english to karuk,panani'ápsiih tóo kúha.
hûut tu'íin pami'ápsiih?,translate from karuk to english,What's wrong with your leg?
What's wrong with your leg?,translate from english to karuk,hûut tu'íin pami'ápsiih?
tá navíshtar.,translate from karuk to english,I like it.
I like it.,translate from english to karuk,tá navíshtar.
uum hûut amáyav.,translate from karuk to english,It tasted really good.
It tasted really good.,translate from english to karuk,uum hûut amáyav.
vúra uum yáv.,translate from karuk to english,It's good.
It's good.,translate from english to karuk,vúra uum yáv.
fâatva uchuuphítih.,translate from karuk to english,He said something.
He said something.,translate from english to karuk,fâatva uchuuphítih.
koovúra yâamachas pananúvuup.,translate from karuk to english,We all have pretty necks.
We all have pretty necks.,translate from english to karuk,koovúra yâamachas pananúvuup.
pamu'átraax tóo kúha.,translate from karuk to english,His arm hurts.
His arm hurts.,translate from english to karuk,pamu'átraax tóo kúha.
naa vúra ikyavíchvaan.,translate from karuk to english,I'm a worker.
I'm a worker.,translate from english to karuk,naa vúra ikyavíchvaan.
